sample_id,prediction
1/1,0.08894775807857513
1/2,0.04453781992197037
1/6,0.034523531794548035
1/7,0.10383082926273346
1/8,0.02352340891957283
2/2,0.1960875540971756
2/3,0.5393812656402588
2/4,0.03261703997850418
2/5,0.06610242277383804
2/9,0.029166286811232567
3/1,0.11678503453731537
3/2,0.04560982808470726
3/6,0.029511505737900734
3/7,0.2616286873817444
3/8,0.29424309730529785
4/3,0.6644290685653687
4/4,0.25298696756362915
4/5,0.05933166295289993
4/6,0.7757360339164734
4/8,0.09570704400539398
5/1,0.17321468889713287
5/3,0.10014986991882324
5/6,0.6603367924690247
5/8,0.09822498261928558
5/9,0.8358721733093262
6/1,0.21685194969177246
6/4,0.07962910830974579
6/5,0.21538719534873962
6/7,0.01590089686214924
6/8,0.019764401018619537
7/0,0.05650370568037033
7/1,0.06577406078577042
7/3,0.9429548978805542
7/7,0.708351194858551
7/9,0.02749793790280819
8/3,0.9748295545578003
8/4,0.20987999439239502
8/5,0.7831977605819702
8/6,0.9504968523979187
8/9,0.045361220836639404
9/2,0.9462970495223999
9/3,0.9694764018058777
9/6,0.4289836287498474
9/8,0.4642590582370758
9/9,0.09849821776151657
10/1,0.025480473414063454
10/2,0.1958170086145401
10/6,0.07194189727306366
10/7,0.1389145404100418
10/9,0.9477763175964355
11/1,0.1193671002984047
11/4,0.1754777729511261
11/5,0.3084133565425873
11/7,0.051753051578998566
11/8,0.4185693860054016
12/1,0.023542720824480057
12/3,0.331886351108551
12/4,0.06394605338573456
12/7,0.05423453450202942
12/9,0.04617276042699814
13/3,0.034863442182540894
13/5,0.8405793905258179
13/7,0.022081056609749794
13/8,0.7208195924758911
13/9,0.2527192234992981
14/2,0.02505548857152462
14/4,0.08973176777362823
14/5,0.057877153158187866
14/6,0.645553708076477
14/8,0.319003164768219
15/1,0.06324892491102219
15/5,0.08854503929615021
15/6,0.036796532571315765
15/7,0.4588392376899719
15/8,0.21244537830352783
16/1,0.05399618670344353
16/2,0.03428151458501816
16/3,0.020242106169462204
16/8,0.019234437495470047
16/9,0.03696881979703903
17/4,0.10280392318964005
17/5,0.06904943287372589
17/6,0.055790893733501434
17/7,0.054375775158405304
17/8,0.5653703212738037
18/0,0.07685451209545135
18/1,0.011485261842608452
18/3,0.15196651220321655
18/6,0.19467893242835999
18/9,0.05844483524560928
19/0,0.04849133640527725
19/1,0.012957687489688396
19/2,0.778464138507843
19/3,0.0643596202135086
19/4,0.8116205930709839
19/6,0.844250500202179
19/7,0.7336093187332153
19/8,0.0729946419596672
19/9,0.9947827458381653
20/0,0.013425037264823914
20/2,0.034474264830350876
20/5,0.04097491502761841
20/6,0.04400911182165146
20/8,0.36515140533447266
21/1,0.1329115778207779
21/3,0.08450351655483246
21/5,0.02453623339533806
21/6,0.9359992146492004
21/8,0.12930649518966675
22/1,0.14966031908988953
22/2,0.029181698337197304
22/4,0.021798353642225266
22/8,0.7149819731712341
22/9,0.047861602157354355
23/0,0.15023179352283478
23/1,0.2725887894630432
23/5,0.7176098823547363
23/6,0.3050936162471771
23/8,0.03478596359491348
24/0,0.06775670498609543
24/4,0.03928818553686142
24/5,0.11158667504787445
24/7,0.026436839252710342
24/9,0.2531680762767792
25/0,0.028743553906679153
25/1,0.06759371608495712
25/3,0.1145162358880043
25/6,0.09869307279586792
25/9,0.14247450232505798
26/0,0.08214172720909119
26/1,0.09645501524209976
26/7,0.8415974378585815
26/8,0.4568963050842285
26/9,0.09125792235136032
27/0,0.9935222864151001
27/2,0.09321901202201843
27/6,0.006593317724764347
27/7,0.08518517017364502
27/9,0.09356656670570374
28/0,0.6611124277114868
28/3,0.2691892981529236
28/4,0.6504955291748047
28/7,0.042931850999593735
28/9,0.035305533558130264
29/0,0.8301933407783508
29/1,0.5077939629554749
29/2,0.6319725513458252
29/5,0.007310184184461832
29/9,0.024649985134601593
30/1,0.9295814633369446
30/2,0.8887839317321777
30/3,0.6843327283859253
30/4,0.8077479600906372
30/8,0.8279733657836914
31/0,0.9881753921508789
31/1,0.06046938896179199
31/2,0.05047594755887985
31/3,0.5878855586051941
31/4,0.9681977033615112
31/5,0.8856385350227356
31/6,0.7289013862609863
31/8,0.015577408485114574
31/9,0.7535449862480164
32/0,0.975583553314209
32/5,0.10455285012722015
32/6,0.8484115600585938
32/8,0.6425089240074158
32/9,0.5646693706512451
33/2,0.07916328310966492
33/5,0.9962595701217651
33/6,0.7315578460693359
33/8,0.05523914843797684
33/9,0.9909564256668091
34/0,0.9945937395095825
34/2,0.9740681648254395
34/3,0.9589408040046692
34/4,0.4725378155708313
34/5,0.014965216629207134
35/4,0.638401448726654
35/5,0.09848631918430328
35/7,0.018699709326028824
35/8,0.13527697324752808
35/9,0.02667306922376156
36/2,0.12665919959545135
36/3,0.037308841943740845
36/4,0.0308422539383173
36/5,0.051156915724277496
36/9,0.13370928168296814
37/1,0.03541114553809166
37/2,0.10208698362112045
37/5,0.0491161085665226
37/7,0.602471649646759
37/8,0.2552626430988312
38/1,0.03226783126592636
38/4,0.7349125146865845
38/5,0.05839602276682854
38/6,0.048362161964178085
38/7,0.8310553431510925
39/0,0.07088353484869003
39/2,0.13229838013648987
39/4,0.5643462538719177
39/6,0.9822176098823547
39/9,0.2669861912727356
40/0,0.6585217714309692
40/1,0.7954977750778198
40/3,0.017437223345041275
40/6,0.5204516649246216
40/7,0.07288019359111786
41/1,0.6789265871047974
41/2,0.039083510637283325
41/5,0.989937424659729
41/7,0.17254608869552612
41/8,0.029954830184578896
42/1,0.6622027158737183
42/3,0.0309857539832592
42/4,0.1094491109251976
42/5,0.546603798866272
42/9,0.04715245962142944
43/0,0.09005106985569
43/1,0.19578976929187775
43/3,0.11375769227743149
43/4,0.22599299252033234
43/5,0.07230427116155624
44/0,0.8334209322929382
44/3,0.023454327136278152
44/4,0.010938281193375587
44/5,0.06830912083387375
44/7,0.022329458966851234
45/0,0.5417294502258301
45/1,0.018917599692940712
45/5,0.9258222579956055
45/6,0.08130919188261032
45/7,0.021931346505880356
46/0,0.33826762437820435
46/2,0.08448155969381332
46/5,0.5137644410133362
46/6,0.19361910223960876
46/8,0.036597151309251785
47/0,0.03842931613326073
47/1,0.6898937225341797
47/7,0.35760098695755005
47/8,0.3717916011810303
47/9,0.16970056295394897
48/0,0.6297649145126343
48/3,0.24799975752830505
48/4,0.4295423626899719
48/5,0.24766096472740173
48/8,0.47638678550720215
49/1,0.19954366981983185
49/2,0.5460437536239624
49/5,0.5323342680931091
49/7,0.05216958001255989
49/8,0.5601117014884949
50/2,0.2497413158416748
50/3,0.13859060406684875
50/5,0.5309901833534241
50/6,0.7045099139213562
50/8,0.47088804841041565
51/4,0.57842618227005
51/5,0.1881096214056015
51/6,0.5306153297424316
51/8,0.2301454097032547
51/9,0.656028151512146
52/0,0.05678785592317581
52/1,0.06821060925722122
52/2,0.13888958096504211
52/4,0.14036236703395844
52/5,0.12282757461071014
53/0,0.629237949848175
53/2,0.3937433660030365
53/5,0.1176203042268753
53/6,0.5301713943481445
53/9,0.14450863003730774
54/0,0.25823283195495605
54/1,0.2075258195400238
54/4,0.4029764235019684
54/5,0.48626643419265747
54/9,0.26385021209716797
55/1,0.848438560962677
55/3,0.31152233481407166
55/5,0.09430883824825287
55/6,0.2515360116958618
55/8,0.7256686091423035
56/0,0.33852171897888184
56/1,0.32135912775993347
56/2,0.3149885833263397
56/7,0.05909236520528793
56/9,0.27427688241004944
57/0,0.6376107931137085
57/1,0.0658642128109932
57/4,0.13377539813518524
57/6,0.020509079098701477
57/9,0.7511436939239502
58/0,0.4337748885154724
58/1,0.1087539941072464
58/4,0.48741617798805237
58/6,0.48977333307266235
58/8,0.1461091786623001
59/0,0.5509872436523438
59/2,0.07493816316127777
59/6,0.0827920213341713
59/8,0.05605944246053696
59/9,0.132924422621727
60/4,0.1834641695022583
60/5,0.014992373995482922
60/7,0.5502259731292725
60/8,0.16319112479686737
60/9,0.2433927357196808
61/1,0.011515376158058643
61/4,0.0272219181060791
61/5,0.0697043165564537
61/7,0.01709144562482834
61/8,0.07850286364555359
62/0,0.013120005838572979
62/3,0.027795393019914627
62/5,0.029388433322310448
62/6,0.018196329474449158
62/7,0.026625940576195717
63/0,0.046624310314655304
63/1,0.014547592028975487
63/2,0.010806024074554443
63/3,0.1591368317604065
63/4,0.029342230409383774
64/0,0.013499644584953785
64/1,0.008651899173855782
64/7,0.024679355323314667
64/8,0.04486086219549179
64/9,0.13601522147655487
65/0,0.02922799251973629
65/2,0.029642567038536072
65/3,0.015076336450874805
65/8,0.034459829330444336
65/9,0.033479515463113785
66/1,0.029728665947914124
66/3,0.07451672852039337
66/6,0.9783180952072144
66/8,0.9262971878051758
66/9,0.6936506032943726
67/0,0.966829776763916
67/2,0.282137393951416
67/4,0.3443220555782318
67/5,0.27177494764328003
67/9,0.026225751265883446
68/2,0.08334609866142273
68/3,0.22218546271324158
68/4,0.10152654349803925
68/7,0.7922725081443787
68/8,0.710345983505249
69/1,0.9996552467346191
69/4,0.9966985583305359
69/5,0.8329051733016968
69/7,0.12609054148197174
69/9,0.6551584601402283
70/0,0.9962398409843445
70/1,0.9837380647659302
70/2,0.9225499033927917
70/3,0.9853812456130981
70/6,0.9939136505126953
71/0,0.9408231973648071
71/3,0.9991002082824707
71/4,0.1456557810306549
71/5,0.07078230381011963
71/6,0.96119225025177
72/0,0.8459657430648804
72/1,0.8864628672599792
72/4,0.8908064961433411
72/7,0.37249284982681274
72/8,0.038494497537612915
73/0,0.9573812484741211
73/1,0.900323212146759
73/3,0.7761460542678833
73/5,0.6182079315185547
73/6,0.6263725161552429
73/7,0.13412067294120789
73/8,0.5891205668449402
73/9,0.06232000142335892
74/0,0.7023710608482361
74/1,0.04916840419173241
74/2,0.7723760604858398
74/3,0.9980066418647766
74/4,0.9826382398605347
74/6,0.982854962348938
74/7,0.9690788984298706
74/8,0.9292742609977722
75/0,0.9775228500366211
75/1,0.9984961748123169
75/2,0.7528070211410522
75/3,0.9718583822250366
75/4,0.989814281463623
76/1,0.9117182493209839
76/2,0.37737149000167847
76/3,0.987014651298523
76/4,0.9813820123672485
76/5,0.875751793384552
76/8,0.61353600025177
76/9,0.9092530012130737
77/0,0.8837242126464844
77/1,0.9631223678588867
77/4,0.22948932647705078
77/6,0.30877819657325745
77/8,0.19791026413440704
78/0,0.19461138546466827
78/2,0.7744274735450745
78/7,0.3528691828250885
78/8,0.8749624490737915
78/9,0.9103849530220032
79/1,0.06930020451545715
79/2,0.03810784965753555
79/5,0.04913359507918358
79/6,0.7179260849952698
79/7,0.39321431517601013
80/0,0.7455304861068726
80/1,0.0866646096110344
80/4,0.9762969017028809
80/8,0.027127888053655624
80/9,0.1665503978729248
81/1,0.25361496210098267
81/2,0.8690880537033081
81/4,0.5629683136940002
81/5,0.9809695482254028
81/6,0.954201877117157
82/0,0.4650338292121887
82/3,0.03253740817308426
82/4,0.11856693029403687
82/5,0.2647031247615814
82/8,0.0942932590842247
83/3,0.13496145606040955
83/6,0.7451757788658142
83/7,0.0224156491458416
83/8,0.04500918835401535
83/9,0.13680189847946167
84/5,0.17833004891872406
84/6,0.20537526905536652
84/7,0.7679682970046997
84/8,0.9237974286079407
84/9,0.0437266007065773
85/0,0.056345678865909576
85/2,0.9865304827690125
85/3,0.03480640798807144
85/4,0.9261411428451538
85/5,0.10070966184139252
85/6,0.9908440709114075
85/7,0.9958204030990601
85/8,0.8496721386909485
85/9,0.8629382848739624
86/0,0.8270324468612671
86/1,0.5397530794143677
86/4,0.7328994870185852
86/7,0.2554905116558075
86/9,0.10735845565795898
87/1,0.9763184785842896
87/2,0.058234237134456635
87/7,0.02694067358970642
87/8,0.8842401504516602
87/9,0.7471905946731567
88/0,0.933323085308075
88/1,0.10567134618759155
88/5,0.040993161499500275
88/6,0.07989788055419922
88/9,0.29637259244918823
89/1,0.06403128802776337
89/5,0.04012974724173546
89/6,0.04288021847605705
89/7,0.24955172836780548
89/8,0.1498827040195465
90/0,0.07673738896846771
90/1,0.08228060603141785
90/7,0.8832270503044128
90/8,0.9692438840866089
90/9,0.3182181715965271
91/0,0.35114580392837524
91/1,0.967676043510437
91/2,0.03769771009683609
91/3,0.10007697343826294
91/4,0.2364194393157959
92/1,0.09707484394311905
92/2,0.06578831374645233
92/3,0.2330637276172638
92/4,0.8157377243041992
92/5,0.06581301987171173
93/0,0.059170980006456375
93/2,0.891369640827179
93/3,0.963691234588623
93/4,0.9995753169059753
93/5,0.9641982316970825
93/6,0.8443468809127808
93/8,0.994315505027771
93/9,0.05698491260409355
94/0,0.940699577331543
94/1,0.8134492039680481
94/3,0.9996441602706909
94/6,0.14552819728851318
94/9,0.13896553218364716
95/0,0.6341143250465393
95/2,0.18308427929878235
95/4,0.16325505077838898
95/5,0.22227153182029724
95/8,0.236292764544487
96/0,0.974251925945282
96/1,0.46657195687294006
96/2,0.6671350002288818
96/4,0.973077118396759
96/5,0.10825388133525848
96/6,0.9820168614387512
96/8,0.47978314757347107
96/9,0.4449293613433838
97/0,0.9120150804519653
97/2,0.8978368043899536
97/3,0.9654005169868469
97/4,0.9893549084663391
97/5,0.05252088978886604
97/6,0.8889334797859192
97/7,0.13276828825473785
97/9,0.8467386364936829
98/1,0.05855586379766464
98/3,0.9465881586074829
98/6,0.5788485407829285
98/7,0.12365956604480743
98/9,0.11992041021585464
99/3,0.9132457971572876
99/4,0.1785215586423874
