sample_id,prediction
1/1,0.08894770592451096
1/2,0.04453781619668007
1/6,0.03452353924512863
1/7,0.10383085906505585
1/8,0.023523397743701935
2/2,0.1960875391960144
2/3,0.5393811464309692
2/4,0.032617077231407166
2/5,0.06610240787267685
2/9,0.029166266322135925
3/1,0.11678502708673477
3/2,0.04560980200767517
3/6,0.02951149269938469
3/7,0.2616285979747772
3/8,0.2942430078983307
4/3,0.6644288897514343
4/4,0.25298696756362915
4/5,0.05933161452412605
4/6,0.7757360935211182
4/8,0.095707006752491
5/1,0.1732146292924881
5/3,0.10014977306127548
5/6,0.6603367328643799
5/8,0.09822496026754379
5/9,0.8358721733093262
6/1,0.21685199439525604
6/4,0.07962910085916519
6/5,0.21538718044757843
6/7,0.015900880098342896
6/8,0.01976439170539379
7/0,0.05650366470217705
7/1,0.06577401608228683
7/3,0.9429548382759094
7/7,0.708351194858551
7/9,0.027497923001646996
8/3,0.9748294949531555
8/4,0.20987987518310547
8/5,0.7831976413726807
8/6,0.9504968523979187
8/9,0.0453612394630909
9/2,0.9462971687316895
9/3,0.9694763422012329
9/6,0.42898350954055786
9/8,0.46425899863243103
9/9,0.09849824011325836
10/1,0.025480464100837708
10/2,0.19581709802150726
10/6,0.07194192707538605
10/7,0.1389145702123642
10/9,0.9477763175964355
11/1,0.1193670779466629
11/4,0.17547771334648132
11/5,0.30841338634490967
11/7,0.05175306648015976
11/8,0.41856950521469116
12/1,0.02354271337389946
12/3,0.331886351108551
12/4,0.06394602358341217
12/7,0.054234493523836136
12/9,0.04617273807525635
13/3,0.034863412380218506
13/5,0.8405793309211731
13/7,0.022081051021814346
13/8,0.7208195328712463
13/9,0.25271913409233093
14/2,0.02505549229681492
14/4,0.08973173052072525
14/5,0.05787716433405876
14/6,0.6455537676811218
14/8,0.3190029263496399
15/1,0.06324891000986099
15/5,0.0885450690984726
15/6,0.03679652512073517
15/7,0.4588391184806824
15/8,0.212445467710495
16/1,0.05399619787931442
16/2,0.034281522035598755
16/3,0.02024209499359131
16/8,0.019234422594308853
16/9,0.03696878254413605
17/4,0.1028037816286087
17/5,0.06904933601617813
17/6,0.055790871381759644
17/7,0.05437571555376053
17/8,0.5653702020645142
18/0,0.07685448229312897
18/1,0.011485250666737556
18/3,0.15196645259857178
18/6,0.19467894732952118
18/9,0.05844477564096451
19/0,0.04849133640527725
19/1,0.012957682833075523
19/2,0.7784640789031982
19/3,0.06435959041118622
19/4,0.8116205930709839
19/6,0.844250500202179
19/7,0.7336092591285706
19/8,0.07299463450908661
19/9,0.9947827458381653
20/0,0.01342503447085619
20/2,0.034474246203899384
20/5,0.04097490757703781
20/6,0.04400908201932907
20/8,0.3651512861251831
21/1,0.1329115629196167
21/3,0.08450353145599365
21/5,0.02453623339533806
21/6,0.9359992146492004
21/8,0.12930643558502197
22/1,0.14966024458408356
22/2,0.02918172813951969
22/4,0.021798353642225266
22/8,0.7149819135665894
22/9,0.047861576080322266
23/0,0.15023165941238403
23/1,0.27258872985839844
23/5,0.717609703540802
23/6,0.30509358644485474
23/8,0.034785956144332886
24/0,0.06775660812854767
24/4,0.03928818553686142
24/5,0.11158668994903564
24/7,0.026436835527420044
24/9,0.2531680762767792
25/0,0.028743555769324303
25/1,0.06759375333786011
25/3,0.11451618373394012
25/6,0.09869305044412613
25/9,0.1424744576215744
26/0,0.08214173465967178
26/1,0.09645499289035797
26/7,0.8415974378585815
26/8,0.4568963050842285
26/9,0.09125789999961853
27/0,0.9935221672058105
27/2,0.09321888536214828
27/6,0.006593317724764347
27/7,0.08518514037132263
27/9,0.09356652200222015
28/0,0.6611124277114868
28/3,0.26918932795524597
28/4,0.6504955887794495
28/7,0.04293186590075493
28/9,0.03530551493167877
29/0,0.8301933407783508
29/1,0.5077939629554749
29/2,0.63197261095047
29/5,0.007310180459171534
29/9,0.02464996837079525
30/1,0.929581344127655
30/2,0.8887839317321777
30/3,0.6843327283859253
30/4,0.8077478408813477
30/8,0.8279733657836914
31/0,0.9881752729415894
31/1,0.0604693777859211
31/2,0.05047593638300896
31/3,0.5878856182098389
31/4,0.9681977033615112
31/5,0.8856385350227356
31/6,0.7289012670516968
31/8,0.015577408485114574
31/9,0.7535449266433716
32/0,0.9755836725234985
32/5,0.10455282032489777
32/6,0.8484115600585938
32/8,0.642508864402771
32/9,0.5646693706512451
33/2,0.07916321605443954
33/5,0.9962595701217651
33/6,0.7315579652786255
33/8,0.05523908883333206
33/9,0.9909564256668091
34/0,0.9945937395095825
34/2,0.9740680456161499
34/3,0.9589406847953796
34/4,0.47253769636154175
34/5,0.014965211972594261
35/4,0.6384013295173645
35/5,0.0984862819314003
35/7,0.018699705600738525
35/8,0.13527700304985046
35/9,0.026673084124922752
36/2,0.12665924429893494
36/3,0.03730886057019234
36/4,0.030842240899801254
36/5,0.051156871020793915
36/9,0.13370928168296814
37/1,0.035411130636930466
37/2,0.10208694636821747
37/5,0.04911605641245842
37/7,0.6024715900421143
37/8,0.255262553691864
38/1,0.032267820090055466
38/4,0.7349125146865845
38/5,0.05839594453573227
38/6,0.048362161964178085
38/7,0.8310554623603821
39/0,0.07088351994752884
39/2,0.13229838013648987
39/4,0.5643463134765625
39/6,0.9822174906730652
39/9,0.26698634028434753
40/0,0.6585215926170349
40/1,0.7954977750778198
40/3,0.01743721216917038
40/6,0.5204516053199768
40/7,0.07288019359111786
41/1,0.6789265275001526
41/2,0.03908354416489601
41/5,0.9899373054504395
41/7,0.17254605889320374
41/8,0.02995482087135315
42/1,0.6622027158737183
42/3,0.030985746532678604
42/4,0.1094491109251976
42/5,0.546603798866272
42/9,0.047152481973171234
43/0,0.0900510624051094
43/1,0.19578984379768372
43/3,0.11375770717859268
43/4,0.22599296271800995
43/5,0.07230428606271744
44/0,0.8334209322929382
44/3,0.023454323410987854
44/4,0.010938271880149841
44/5,0.06830910593271255
44/7,0.02232947014272213
45/0,0.5417293310165405
45/1,0.018917599692940712
45/5,0.925822377204895
45/6,0.0813092440366745
45/7,0.02193133905529976
46/0,0.33826765418052673
46/2,0.08448158949613571
46/5,0.5137643814086914
46/6,0.19361911714076996
46/8,0.036597151309251785
47/0,0.03842932730913162
47/1,0.6898936629295349
47/7,0.3576008677482605
47/8,0.3717915415763855
47/9,0.1697005331516266
48/0,0.6297649145126343
48/3,0.24799975752830505
48/4,0.4295423626899719
48/5,0.24766099452972412
48/8,0.4763866364955902
49/1,0.19954362511634827
49/2,0.5460435152053833
49/5,0.5323340892791748
49/7,0.052169572561979294
49/8,0.5601115822792053
50/2,0.2497413456439972
50/3,0.13859060406684875
50/5,0.5309901237487793
50/6,0.704509973526001
50/8,0.47088804841041565
51/4,0.5784262418746948
51/5,0.18810950219631195
51/6,0.5306152105331421
51/8,0.23014552891254425
51/9,0.6560280919075012
52/0,0.056787896901369095
52/1,0.06821060925722122
52/2,0.1388896256685257
52/4,0.14036238193511963
52/5,0.12282752990722656
53/0,0.6292380094528198
53/2,0.3937435448169708
53/5,0.11762028932571411
53/6,0.5301713943481445
53/9,0.14450857043266296
54/0,0.25823265314102173
54/1,0.20752587914466858
54/4,0.4029763340950012
54/5,0.48626643419265747
54/9,0.2638501524925232
55/1,0.848438560962677
55/3,0.3115221858024597
55/5,0.09430883079767227
55/6,0.251536101102829
55/8,0.7256686091423035
56/0,0.33852171897888184
56/1,0.32135912775993347
56/2,0.31498852372169495
56/7,0.05909239128232002
56/9,0.2742766737937927
57/0,0.6376107931137085
57/1,0.06586416810750961
57/4,0.13377545773983002
57/6,0.020509077236056328
57/9,0.7511435747146606
58/0,0.4337749481201172
58/1,0.10875413566827774
58/4,0.48741617798805237
58/6,0.48977333307266235
58/8,0.14610913395881653
59/0,0.5509873032569885
59/2,0.07493811100721359
59/6,0.08279198408126831
